H3_INDEX,ANO_SEMANA,QTD_CRIMES,ALVO
89a803584afffff,2023-52,1,1
89a8035856fffff,2023-21,1,1
89a8035aa7bffff,2023-03,3,1
89a80376207ffff,2023-32,8,1
89a80376207ffff,2023-36,5,1
89a8037623bffff,2023-47,1,1
89a8037628fffff,2023-32,4,1
89a80379dd3ffff,2023-18,1,1
89a8037b10bffff,2023-20,4,1
89a803c0a53ffff,2023-50,9,1
89a803c252fffff,2023-41,1,1
89a803c25a3ffff,2023-10,1,1
89a803c25a3ffff,2023-22,2,1
89a803c25abffff,2022-45,1,1
89a803c25abffff,2023-09,6,1
89a803c25abffff,2023-15,1,1
89a803c25abffff,2023-31,1,1
89a803c25abffff,2023-50,10,1
89a803c5d8bffff,2023-32,1,1
89a803c88a7ffff,2023-06,1,1
89a803cd0c3ffff,2023-42,2,1
89a803cd40bffff,2023-23,1,1
89a803cd41bffff,2023-37,1,1
89a803cd453ffff,2023-15,4,1
89a803cd453ffff,2023-29,1,1
89a803cd453ffff,2023-53,1,1
89a803cd457ffff,2023-26,5,1
89a803cd4afffff,2023-41,1,1
89a803d13a3ffff,2023-17,1,1
89a803d13b7ffff,2023-36,2,1
89a8060e997ffff,2023-26,1,1
89a8060edbbffff,2023-01,1,1
89a8060edbbffff,2023-14,1,1
89a8060edbbffff,2023-50,1,1
89a806229a7ffff,2023-35,1,1
89a8063288bffff,2023-10,4,1
89a8064957bffff,2023-18,1,1
89a8065b053ffff,2023-28,1,1
89a8065b0d7ffff,2023-17,1,1
89a8065b0dbffff,2023-52,1,1
89a8065b6afffff,2022-47,4,1
89a8065b6afffff,2023-08,1,1
89a8065b6afffff,2023-10,7,1
89a8065b6afffff,2023-18,2,1
89a8065b6afffff,2023-32,1,1
89a8065b6afffff,2023-41,43,1
89a8065b6afffff,2023-42,1,1
89a8065b6afffff,2023-44,1,1
89a8065b6afffff,2023-45,4,1
89a8066630fffff,2023-23,1,1
89a80666337ffff,2023-37,1,1
89a8066f617ffff,2023-45,4,1
89a806a8133ffff,2023-48,1,1
89a806c1563ffff,2022-45,6,1
89a806c1563ffff,2023-02,6,1
89a806c1563ffff,2023-28,1,1
89a806c1563ffff,2023-30,2,1
89a806c1563ffff,2023-48,2,1
89a806cc80fffff,2023-20,5,1
89a806cc80fffff,2023-27,4,1
89a806cc80fffff,2023-44,14,1
89a806d8b1bffff,2023-28,15,1
89a8081092fffff,2023-10,1,1
89a80814da7ffff,2023-49,2,1
89a808150d3ffff,2023-48,4,1
89a808150d3ffff,2023-52,1,1
89a808150d7ffff,2023-45,2,1
89a8081544bffff,2023-09,16,1
89a80815607ffff,2023-18,1,1
89a80815683ffff,2023-44,1,1
89a80829e27ffff,2023-20,5,1
89a8082b10bffff,2023-37,1,1
89a8083a8a7ffff,2023-52,1,1
89a8084083bffff,2023-19,1,1
89a8084924bffff,2023-17,5,1
89a808492cbffff,2023-23,4,1
89a808492dbffff,2023-23,1,1
89a80849963ffff,2023-17,1,1
89a8084c8cfffff,2023-33,6,1
89a808502cfffff,2023-13,25,1
89a808502cfffff,2023-27,4,1
89a8085093bffff,2023-39,24,1
89a8086185bffff,2023-36,9,1
89a8086185bffff,2023-37,1,1
89a808618c3ffff,2023-50,5,1
89a808618cbffff,2023-42,4,1
89a8086360fffff,2023-14,5,1
89a8086362bffff,2023-28,5,1
89a8086363bffff,2023-23,4,1
89a8086366bffff,2023-12,4,1
89a8086366fffff,2023-20,14,1
89a8087823bffff,2023-15,5,1
89a80878247ffff,2023-30,4,1
89a80878247ffff,2023-52,1,1
89a80878983ffff,2023-04,5,1
89a80878d07ffff,2023-20,5,1
89a80878d73ffff,2023-42,2,1
89a80878d8bffff,2023-35,4,1
89a80878db7ffff,2023-23,22,1
89a80878db7ffff,2023-37,11,1
89a80878db7ffff,2023-42,5,1
89a80878db7ffff,2023-49,1,1
89a8087952fffff,2023-40,5,1
89a8087ab27ffff,2023-23,5,1
89a8087adb7ffff,2023-17,6,1
89a8087adb7ffff,2023-23,1,1
89a8087adb7ffff,2023-30,4,1
89a8087adb7ffff,2023-37,1,1
89a8087adb7ffff,2023-38,4,1
89a8087adb7ffff,2023-40,4,1
89a8087adb7ffff,2023-42,4,1
89a8087adb7ffff,2023-52,5,1
89a80889857ffff,2023-02,2,1
89a80891c03ffff,2022-50,21,1
89a80891c03ffff,2023-11,5,1
89a80891c03ffff,2023-37,15,1
89a808a8c87ffff,2023-26,4,1
89a808a8cc7ffff,2023-02,2,1
89a808aa803ffff,2023-36,1,1
89a808aa80fffff,2023-02,1,1
89a808aa84fffff,2023-40,1,1
89a808aa8b3ffff,2023-31,5,1
89a808aa92bffff,2023-52,1,1
89a808aa92fffff,2023-35,9,1
89a808aa933ffff,2023-37,4,1
89a808aa9dbffff,2022-51,12,1
89a808aab43ffff,2023-42,6,1
89a808aab53ffff,2023-35,16,1
89a808aab57ffff,2023-37,1,1
89a808aab73ffff,2023-19,12,1
89a808aabc3ffff,2023-32,4,1
89a808aabcfffff,2023-11,1,1
89a808aabcfffff,2023-25,4,1
89a808b0e17ffff,2022-08,1,1
89a808b0e17ffff,2022-51,16,1
89a808b0e17ffff,2023-20,6,1
89a808b0e17ffff,2023-30,4,1
89a808c0653ffff,2023-27,5,1
89a808c06cbffff,2022-52,4,1
89a808c06dbffff,2023-26,1,1
89a808c1013ffff,2023-01,1,1
89a808c1027ffff,2023-13,9,1
89a808c1047ffff,2023-37,5,1
89a808c1057ffff,2023-28,7,1
89a808c108fffff,2023-25,3,1
89a808c109bffff,2023-47,1,1
89a808c1143ffff,2023-13,5,1
89a808c114fffff,2023-47,1,1
89a808c1157ffff,2023-26,6,1
89a808c118bffff,2023-03,2,1
89a808c11dbffff,2023-50,2,1
89a808c1227ffff,2023-37,5,1
89a808c1237ffff,2023-25,5,1
89a808c1243ffff,2023-19,1,1
89a808c1247ffff,2023-09,1,1
89a808c1257ffff,2023-14,1,1
89a808c126bffff,2023-21,5,1
89a808c127bffff,2023-21,8,1
89a808c1287ffff,2023-22,1,1
89a808c1287ffff,2023-46,1,1
89a808c128fffff,2023-42,5,1
89a808c1297ffff,2023-24,1,1
89a808c1297ffff,2023-51,1,1
89a808c12a3ffff,2023-24,1,1
89a808c12a3ffff,2023-40,5,1
89a808c12abffff,2023-31,1,1
89a808c12b7ffff,2023-26,1,1
89a808c12bbffff,2023-30,1,1
89a808c12c3ffff,2023-03,11,1
89a808c12c3ffff,2023-40,1,1
89a808c12d3ffff,2023-25,5,1
89a808c12d7ffff,2023-39,7,1
89a808c1343ffff,2023-24,1,1
89a808c134fffff,2023-29,4,1
89a808c136fffff,2023-13,1,1
89a808c137bffff,2023-50,10,1
89a808c13abffff,2023-49,1,1
89a808c13b3ffff,2023-03,4,1
89a808c13c7ffff,2023-44,13,1
89a808c13cbffff,2023-31,5,1
89a808c146bffff,2023-47,1,1
89a808c1503ffff,2023-19,1,1
89a808c1557ffff,2023-10,1,1
89a808c1567ffff,2023-13,11,1
89a808c1567ffff,2023-27,5,1
89a808c15b7ffff,2023-20,1,1
89a808c160bffff,2023-26,1,1
89a808c160fffff,2023-25,1,1
89a808c160fffff,2023-47,1,1
89a808c1617ffff,2023-38,1,1
89a808c161bffff,2022-52,4,1
89a808c1623ffff,2023-24,2,1
89a808c1623ffff,2023-51,1,1
89a808c1633ffff,2023-18,1,1
89a808c1637ffff,2023-01,1,1
89a808c1637ffff,2023-13,1,1
89a808c1637ffff,2023-19,1,1
89a808c163bffff,2023-47,5,1
89a808c1647ffff,2023-01,5,1
89a808c164bffff,2023-23,7,1
89a808c164fffff,2023-26,1,1
89a808c164fffff,2023-35,7,1
89a808c164fffff,2023-50,1,1
89a808c1663ffff,2023-50,1,1
89a808c166bffff,2023-50,5,1
89a808c1673ffff,2023-16,1,1
89a808c1677ffff,2023-35,1,1
89a808c167bffff,2023-17,1,1
89a808c168fffff,2023-37,1,1
89a808c169bffff,2023-22,1,1
89a808c16abffff,2023-51,5,1
89a808c16b3ffff,2023-21,1,1
89a808c16cbffff,2015-40,1,1
89a808c16cbffff,2023-28,1,1
89a808c16cfffff,2023-29,1,1
89a808c1803ffff,2023-21,1,1
89a808c1803ffff,2023-23,4,1
89a808c19c3ffff,2023-04,4,1
89a808c1c43ffff,2023-18,8,1
89a808c1d6bffff,2023-03,2,1
89a808c1e4fffff,2023-12,11,1
89a808c3337ffff,2023-09,1,1
89a808c333bffff,2023-04,4,1
89a808c33a3ffff,2023-15,4,1
89a808c366bffff,2023-49,1,1
89a808c85abffff,2023-47,1,1
89a808ca137ffff,2023-25,5,1
89a808ca137ffff,2023-27,5,1
89a808ca137ffff,2023-47,8,1
89a808ca137ffff,2023-51,8,1
89a808ca183ffff,2023-47,5,1
89a808ca19bffff,2023-47,1,1
89a808ca1a3ffff,2023-01,4,1
89a808ca1a3ffff,2023-32,6,1
89a808ca1a7ffff,2023-51,1,1
89a808ca1afffff,2023-11,5,1
89a808ca1b3ffff,2023-21,5,1
89a808ca1b3ffff,2023-30,4,1
89a808ca50bffff,2023-10,1,1
89a808ca50fffff,2023-48,4,1
89a808ca513ffff,2023-04,4,1
89a808ca523ffff,2023-24,4,1
89a808ca523ffff,2023-31,2,1
89a808ca52bffff,2023-45,5,1
89a808ca52bffff,2023-50,1,1
89a808ca52fffff,2023-35,7,1
89a808ca537ffff,2023-15,1,1
89a808ca537ffff,2023-22,1,1
89a808ca537ffff,2023-25,5,1
89a808ca537ffff,2023-29,1,1
89a808ca537ffff,2023-30,5,1
89a808ca537ffff,2023-37,1,1
89a808ca547ffff,2023-52,1,1
89a808ca557ffff,2023-16,2,1
89a808ca567ffff,2023-12,5,1
89a808ca56fffff,2023-46,5,1
89a808ca56fffff,2023-51,5,1
89a808ca58fffff,2023-51,4,1
89a808ca59bffff,2023-34,5,1
89a808ca5a3ffff,2023-12,1,1
89a808ca5a3ffff,2023-46,1,1
89a808ca5a7ffff,2023-13,1,1
89a808ca5a7ffff,2023-34,1,1
89a808ca5abffff,2022-52,1,1
89a808ca5abffff,2023-03,1,1
89a808ca5abffff,2023-13,5,1
89a808ca5abffff,2023-22,5,1
89a808ca5abffff,2023-36,1,1
89a808ca5afffff,2023-23,1,1
89a808ca5afffff,2023-51,1,1
89a808ca5b3ffff,2022-45,4,1
89a808ca5b3ffff,2023-04,1,1
89a808ca5b7ffff,2023-04,1,1
89a808ca5b7ffff,2023-17,5,1
89a808ca5b7ffff,2023-30,5,1
89a808ca5b7ffff,2023-51,1,1
89a808ca5c7ffff,2023-10,1,1
89a808ca5d7ffff,2022-52,6,1
89a808ca5dbffff,2022-47,6,1
89a808caa8bffff,2023-40,1,1
89a808cac0fffff,2023-40,1,1
89a808cac0fffff,2023-42,1,1
89a808cac17ffff,2023-45,5,1
89a808cac77ffff,2023-30,4,1
89a808cacc3ffff,2023-30,5,1
89a808cacc7ffff,2023-13,5,1
89a808cacc7ffff,2023-30,1,1
89a808cacd3ffff,2023-23,5,1
89a808cad8bffff,2023-12,5,1
89a808cae0fffff,2023-41,2,1
89a808cae0fffff,2023-48,1,1
89a808cae17ffff,2023-45,1,1
89a808cae33ffff,2023-34,1,1
89a808cae3bffff,2023-33,1,1
89a808caed3ffff,2023-24,4,1
89a808cd313ffff,2023-13,4,1
89a808cd313ffff,2023-40,1,1
89a808d0023ffff,2023-47,8,1
89a808d002bffff,2023-42,1,1
89a808d00afffff,2023-30,1,1
89a808d018fffff,2023-23,5,1
89a808d018fffff,2023-31,1,1
89a808d01cbffff,2023-22,17,1
89a808d0397ffff,2023-32,1,1
89a808d52b3ffff,2023-28,1,1
89a808d8083ffff,2023-28,1,1
89a808d8093ffff,2023-21,4,1
89a808d8093ffff,2023-37,4,1
89a808d84cfffff,2023-21,1,1
89a808d84cfffff,2023-37,1,1
89a808d860bffff,2023-21,1,1
89a808d865bffff,2023-14,5,1
89a808d8863ffff,2023-20,2,1
89a808d8b27ffff,2023-50,4,1
89a808d8b67ffff,2023-48,1,1
89a808d8b6fffff,2023-01,5,1
89a808d8b9bffff,2023-21,2,1
89a808d8bafffff,2023-11,2,1
89a808d8bafffff,2023-17,5,1
89a808d8bafffff,2023-25,5,1
89a808d8eabffff,2023-10,1,1
89a808d8ed3ffff,2023-26,1,1
89a808d91b7ffff,2023-26,1,1
89a808d9507ffff,2023-10,8,1
89a808d9517ffff,2023-19,1,1
89a808d958fffff,2023-20,1,1
89a808d95afffff,2023-32,1,1
89a808d95afffff,2023-37,1,1
89a808d990fffff,2023-17,5,1
89a808d993bffff,2023-37,1,1
89a80a01dafffff,2023-32,5,1
89a80a05d83ffff,2023-06,4,1
89a80a05d83ffff,2023-13,9,1
89a80a05d83ffff,2023-39,1,1
89a80a08d93ffff,2023-24,4,1
89a80a08db7ffff,2023-15,5,1
89a80a0964fffff,2023-41,11,1
89a80a0a97bffff,2023-02,1,1
89a80a0ab37ffff,2022-50,4,1
89a80a0abafffff,2023-50,14,1
89a80a0c44fffff,2023-12,5,1
89a80a0d4afffff,2023-01,1,1
89a80a0f2d3ffff,2023-47,4,1
89a80a0f643ffff,2023-12,4,1
89a80a0f64bffff,2023-01,7,1
89a80a0f657ffff,2022-17,4,1
89a80a0f65bffff,2023-24,4,1
89a80a0f6cfffff,2023-22,1,1
89a80a349c7ffff,2022-24,4,1
89a80a349c7ffff,2022-46,4,1
89a80a372bbffff,2023-18,1,1
89a80a40133ffff,2023-10,4,1
89a80a401abffff,2023-32,4,1
89a80a40817ffff,2023-39,1,1
89a80a40873ffff,2023-44,5,1
89a80a40877ffff,2022-46,4,1
89a80a40877ffff,2023-22,1,1
89a80a408c3ffff,2023-23,8,1
